# DeepL Glossary for Fred Pohl's blog translation (English → Russian)
# Format: English<TAB>Russian
# Lines starting with # are ignored.
# After editing this file, run:
#   python3 translate.py --key YOUR_KEY --sync-glossary
# to upload changes to DeepL.
#
# NOTE: DeepL glossaries are case-sensitive on the source side.
# Add both capitalized and lowercase variants if needed.

# ── People ────────────────────────────────────────────────────────────────────
Frederik Pohl	Фредерик Пол
Fred Pohl	Фред Пол
Isaac Asimov	Айзек Азимов
Asimov	Азимов
Robert A. Heinlein	Роберт Хайнлайн
Heinlein	Хайнлайн
Arthur C. Clarke	Артур Кларк
Arthur Clarke	Артур Кларк
Clarke	Кларк
Cyril Kornbluth	Сирил Корнблат
Kornbluth	Корнблат
Jack Williamson	Джек Уильямсон
Williamson	Уильямсон
L. Sprague de Camp	Л. Спрэг де Камп
de Camp	де Камп
Lester del Rey	Лестер дель Рей
del Rey	дель Рей
Judy-Lynn del Rey	Джуди-Линн дель Рей
Judy-Lynn Benjamin	Джуди-Линн Бенджамин
Horace Gold	Хорас Голд
H. L. Gold	Г. Л. Голд
Gold	Голд
John W. Campbell	Джон В. Кэмпбелл
Campbell	Кэмпбелл
Ray Bradbury	Рэй Брэдбери
Bradbury	Брэдбери
Philip K. Dick	Филип К. Дик
Philip Dick	Филип Дик
Dick	Дик
Theodore Sturgeon	Теодор Старджон
Sturgeon	Старджон
Damon Knight	Деймон Найт
Knight	Найт
Judith Merril	Джудит Меррил
Merril	Меррил
Virginia Kidd	Вирджиния Кидд
Harlan Ellison	Харлан Эллисон
Ellison	Эллисон
Robert Silverberg	Роберт Силверберг
Silverberg	Силверберг
Gordon Dickson	Гордон Диксон
Dickson	Диксон
Poul Anderson	Пол Андерсон
Clifford Simak	Клиффорд Саймак
Simak	Саймак
E. E. Smith	Э. Э. Смит
Doc Smith	Док Смит
Henry Kuttner	Генри Каттнер
Kuttner	Каттнер
C. L. Moore	К. Л. Мур
Murray Leinster	Мюррей Лейнстер
Leinster	Лейнстер
A. E. van Vogt	А. Э. ван Вогт
van Vogt	ван Вогт
Olaf Stapledon	Олаф Стэплдон
H. G. Wells	Г. Дж. Уэллс
Jules Verne	Жюль Верн
Hugo Gernsback	Хьюго Гернсбек
Gernsback	Гернсбек
Sam Moskowitz	Сэм Московиц
Moskowitz	Московиц
Donald Wollheim	Дональд Уоллхейм
Wollheim	Уоллхейм
Anthony Boucher	Энтони Бучер
Boucher	Бучер
Mick McCauley	Мик Маккоули
Bob Tucker	Боб Такер
Tucker	Такер
Sprague	Спрэг
Josie (Josephine) Pohl	Джози Пол
Carol Pohl	Кэрол Пол
Betty Anne Hull	Бетти Энн Халл
Elizabeth Anne Hull	Элизабет Энн Халл
Elizabeth Hull	Элизабет Халл
Betty Hull	Бетти Халл
Hull	Халл
Richard Bergner	Ричард Бергнер
Robert Sheckley	Роберт Шекли
Sheckley	Шекли
Larry Niven	Ларри Нивен
Niven	Нивен
Jerry Pournelle	Джерри Пурнелл
Pournelle	Пурнелл
Norman Spinrad	Норман Спинрад
Spinrad	Спинрад
Algis Budrys	Элджис Будрис
Budrys	Будрис
Kate Wilhelm	Кейт Вильгельм
Wilhelm	Вильгельм
Barry Malzberg	Барри Молзберг
Malzberg	Молзберг
Virginia Heinlein	Вирджиния Хайнлайн

# ── Publications (do not translate titles) ───────────────────────────────────
Galaxy Science Fiction	Galaxy Science Fiction
Galaxy	Galaxy
Astounding Science Fiction	Astounding Science Fiction
Astounding	Astounding
Analog Science Fiction	Analog Science Fiction
Analog	Analog
Amazing Stories	Amazing Stories
Amazing	Amazing
Worlds of If	Worlds of If
The Magazine of Fantasy and Science Fiction	The Magazine of Fantasy and Science Fiction
Fantasy and Science Fiction	Fantasy and Science Fiction
Infinity Science Fiction	Infinity Science Fiction
